Q2: Please tell a story about a time when a person or an organization tried to help someone or change something in your community.,Q3: Give your story a title.,Q4: Name the organization or group most involved in what happened.,Q5: What is this story about?,Q7: Where did this story take place? (city or district),Q12: What is your connection to what happened in the story?,Q13: Who benefitted from what happened in the story?,Q19: Which of these relate to your story?,Q37: This story describes a...,,Storyteller ID
"My name is Linda Kisiani.I am a student at Kenyatta university pursuing bachelor of arts (planning).I did finish my form four two years ago and managed to scoop a B. Due to lack of funds, my hopes of continuing with education were crashed.My parents did not have any money. I move from place to place trying to look for someone who directed me to an organization named ACCESS which he believed could hep me. I went to their offices and explained my story. They listened to it and after learning that i had a pulsating desire to coontinue with my education,they decided to pay my fees. I later joined the university and up to now I am working hard to excel and have a better life in the near future.",Paying the University fees,ACCESS,"arts, years, due, funds, access",Kakamega,Was affected by what happened,The right people,"Security,Physical Needs,Creativity",Good idea that succeeded,,30
"My name is Eunice Adongo .I am a native of kakamega and a student at Mt Kenya University.After I failed to get a direct entry to the university by the Joint Admission board, I  concluded  to myself that i had come to  a timely dead end.My parents are not that able so getting them to pay my school fees was just imposible. I had heard of a certain canadian organization named ACESS which payed school fees for poor willing students.I visited their offices which is based in Milimani Estate in Kakamega Central.They heard my story and saw my willing heart which was ready for education. I applied for Mt Kenya University as a self-sponsored student and they have been paying for me all along and they have even promised to pay for me until i am through with my education.",Paying my university fees,ACCESS,"direct, kenya, come, students, access",Kakamega,Was affected by what happened,The right people,"Security,Physical Needs,Knowledge",Good idea that succeeded,,31
"Education is a great engine towards personal development.Its only through education that a daughter a peasant farmer can be the president of a nation and a son of a mine worker be the head of the mine.The phenomenon hold true for a family of twelve in shinyalu chiroban village where the breath in the home was poverty.Seven of the children of the home had to drop out of school though bright for a lack of school fees.One of them remained focused and by the time he was in standard eight,Access advertised scholarship for children who  come from marginalised communities.Nzioka(not the real name) sat for his exam and got three hundred and eighty five marks and this meant light to the home.Access provided ful suport towards his education and to date he is pursuing mechanical engineering in university of Nairobi",Education is key,ACCESS,,,Was affected by what happened,The right people,"Physical Needs,Knowledge,Self-esteem",Good idea that succeeded,,32
"Education is a great engine towards personal development.Its only through education that a daughter a peasant farmer can be the president of a nation and a son of a mine worker be the head of the mine.The phenomenon hold true for a family of twelve in shinyalu chiroban village where the breath in the home was poverty.Seven of the children of the home had to drop out of school though bright for a lack of school fees.One of them remained focused and by the time he was in standard eight,Access advertised scholarship for children who  come from marginalised communities.Nzioka(not the real name) sat for his exam and got three hundred and eighty five marks and this meant light to the home.Access provided ful suport towards his education and to date he is pursuing mechanical engineering in university of Nairobi",Education is key,ACCESS,,,Was affected by what happened,The right people,"Physical Needs,Knowledge,Self-esteem",Good idea that succeeded,,33
"Lydia is my name. I do a bachelor of Journalism at Masinde Muliro University and i do reside from Kakamega town. At first  I didn't find it easy with my university education since I didn't have an immediate person to help me pay my entire university school fees. Luckily I approached ACCESS group, an organization that sponsors needy children and there I got an oppurtunity together with other students to have our school fees being catered for. I am very happy as the gesture has enabled me to read with my zeal and has give me hope of making my career in my life.",Scholarship,ACCESS,,Kakamega,Was affected by what happened,The right people,"Family and Friends,Respect,Fun",Good idea that succeeded,,34
"Lydia is my name. I do a bachelor of Journalism at Masinde Muliro University and i do reside from Kakamega town. At first  I didn't find it easy with my university education since I didn't have an immediate person to help me pay my entire university school fees. Luckily I approached ACCESS group, an organization that sponsors needy children and there I got an oppurtunity together with other students to have our school fees being catered for. I am very happy as the gesture has enabled me to read with my zeal and has give me hope of making my career in my life.",Scholarship,ACCESS,,Kakamega,Was affected by what happened,The right people,"Family and Friends,Respect,Fun",Good idea that succeeded,,35
"My name is Mary Kidaha. I am a mother of three with my first born doing his bachelor of Economics at the university. The other two are in high school and so school fees was really breaking my neck. Although I'm working my finance could not be able to sponsor all the three children in their education and so I had to seek alternatives elsewhere. I was lucky to get helped from ACCESS who agreed to sponsor my son who's at university with school fees. That has been very kind and so, it has given me an easy time to help the other sons. I'm very happy.",Schorlaship,ACCESS,,Kakamega,Was affected by what happened,The right people,"Knowledge,Creativity,Freedom",Good idea that succeeded,,36
"I am Kahuru Victor. I am a student at Kenya Polytechnic University College doing my bachelors degree of civil engineering. I am doing my second year, although at first I was not finding it easy with my fees. I was lucky to secure sponsorship from ACCESS who are now helping me in paying the school. They've made my life to be bearable and so I'm very happy since I will complete my education with no problem.",Scholarship,ACCESS,,Kakamega,Was affected by what happened,The right people,"Knowledge,Creativity,Freedom",Good idea that succeeded,,37
"I am Kevin from Mt. Kenya university. I'm not from a so well family so I couldn't sponsor myself all the way in the University. So I sought help from ACCESS group, an organization that sponsors needy students to get them going to complete their education. They are currently paying my university fees reducing the burden for my parents who then are supporting me in the best way possible as they can do that within their means.",Schorlaship,ACCESS,,Kakamega,Was affected by what happened,The right people,"Knowledge,Creativity,Freedom",Good idea that succeeded,,38
I am Brian from Nairobi University. I am doing a bachelor of economics course and am in third year. My family is not well off and so as to my joining university I was worried since I didn't have enough to sponsor me. A friend hinted to me about ACCESS and there I approached them who after a series of assessments decide to sponsor my tertiary education. I'm really happy as that kind move has seen me studying peacefully and efficiently with no further problems.,Schorlaship,ACCESS,,Kakamega,Was affected by what happened,The right people,"Knowledge,Creativity,Freedom",Good idea that succeeded,,39
"Acess is an NGO based in Kakamega's Milimani ward that help in sponsoring children from poor and needy households through their education both at primary, secondary as well as university & college levels. To qualify for a scholarship the students apply and the applications are latter vetted and approved as per the order of merit depending on needness. Early this year, more than five beneficiaries were lucky enough to receive the scholarship from ACESS and they can now access their academic ambitions without fee obstacles. Thanks to access, many of the youth can now join the rest in the literate world.",Scholarship to poor students,ACCESS,,Kakamega,Saw it happen,The right people,"Knowledge,Creativity,Freedom",Good idea that succeeded,,40
I am a student in Maluakalo primary school and a total orphan. My parents passed away through road accident. I had no one else to support me if not my grandparents. I got confused and had nothing todo. It was through a friend who introduced me to Access Kenya who came to support me pay my school fee. Since then I am now in form two pray that I will do well in my exams and go to university.,Fee Payment,Access,,Kakamega,Was affected by what happened,The right people,"Knowledge,Creativity,Freedom",Good idea that succeeded,,41
Nelly Ajuma is my name. I reside in kakamega and am a student at Masinde Muliro University of Science and Technology. I am now doing my second year but it has not been easy through out the studies. School fees has been hard raising and from time to time it had eaten into alot of funds from my parents. Luckily i approached ACCESS 5 months ago to request them to sponsor me and they agreed to do so. My burden has been reduced and so my parents are actually relieved.,Scholarship,ACCESS,,KAKAMEGA,Was affected by what happened,The right people,"Respect,Self-esteem,Freedom",Good idea that succeeded,,42
"A certain girl passed highly her form four results.She didn't have enough funds to pursue higher education at the university she was thus stranded and felt that she had toiled for nothing.Her father kept looking anywhere where he could get school fees for her luckily he happened to bump into a person who directed him to Access Kenya,a Canadian Organization aimed at aiding poor people.Access Kenya looked into the girls case and went ahead to  sponsor her at the university.She is now comfortable doing her degree in education.",payment of school fees,ACCESS KENYA,"education university, higher education, degree, school fees, university",KAKAMEGA,Saw it happen,The right people,"Security,Creativity,Self-esteem",Good idea that succeeded,,43
"In my neighbourhood we had students who had completed their secondary school education and passed well. The main problem was how to secure a chance in the higher learning institutions. To the rescue of one of the victims who was my friend, came an organization which is ACCESS KENYA that brought help at their doors. They were offered scholarship chances the university and their fees paid throughout their study time. And through that they are now learned and working thanks to the organisation. Their future is secured",Education Security,Access Kenya,,Kakamega,Saw it happen,The right people,"Food and shelter,Self-esteem,Freedom",Good idea that succeeded,,44
"It was last year when my husband passed away with HIV/AIDS.He left me with three children and all of them are in school.one primary,secondary and university.To make matters worse he was the bread winner for me i was just a house wife.In this short time it was tough for me and my children because promises made by relatives are never fulfilled.I have always run up and down but it is not easy.For now i am happy because access has taken one of my child to support my daughter who did class eight.She has now joined secondary schoo land working hard to support this other once but atleast it has been well for me.",secondary education,Access kenya,,Kakamega,Saw it happen,The right people,"Security,Physical Needs,Knowledge",Good idea that succeeded,,45
"My name is Mark. I am a security guard at ACCESS, African Canadian Continuing Education scholarship programme, an organization that offers scholarship opportunities for needy students as the name suggests. I've worked here for a period of of 2 years so far and I have seen many lives being changed; right from high school students to those in higher learning institutions. Even my brother got assistance from here in raising fees to undertake his university studies. The organization has helped alot of people in this region of Kakamega and am really happy about it",Scholarships,ACCESS organization,,KAKAMEGA,Helped make it happen,The right people,"Respect,Self-esteem,Freedom",Good idea that succeeded,,46
ACN is an organisation which helps children in need of helped my daughter to study from primary now she is at university studying and they have helping me to educate other children who  are also studing,Helping children,ACN,,Mbarara,Helped make it happen,The right people,"Food and shelter,Family and Friends,Physical Needs",Good idea that worked somewhat,,47
"Action Aid is an international organisation that is giving hope to the hopeless and needy children in the community especially slum and rural.Rukia is being sponsored with Action Aid.She was given sponsorship after a group of people from organisation who were going round identifying the clever children who needs assistance. After perfoming well in k.c.p.e. she was among poor needy children who were identified after visitation in the community.she is given everything from, food, all basic needs .and being educated secondary to university",Give Hope to Hopeless,Action Aid,,Nairobi,Saw it happen,The wrong people,"Food and shelter,Family and Friends,Physical Needs",Good idea that succeeded,,48
"Agricultural Enterpreneurship  The seven Agro business Makerere University graduates founder members of Activists for Agro based Enterpreneurship agriand cultural enerpreneurship innovation through Agricultural Commercialisation as the major employer of the rural population in Kitagatta and country at large. They have formulated farmers groups, farmer sensitization in modern commercial agriculture that entails proper record keeping, agricultural diversification and processing. This have enormously improved the general standards of living of the community in Mbarara",Agricultural Enterpreneurship,Activists for Agro based Enterpreneurship,,Mbarara,Helped make it happen,The right people,"Family and Friends,Respect,Fun",Good idea that succeeded,,49
"Matovu Ronnie now at campus /university. Mukono assets that ever since the death of his father who was the financial hunter, has been looked after in terms of education by Adegeya project right away from senior four upto now. Apart from the faces, they have been also awailing him up keep to solve his personel demands. Also many many children are being helped like Ronnie.",EDUCATING ORPHANS,ADEGEYA PROJECT,,LWENGO,Saw it happen,The right people,"Food and shelter,Family and Friends,Freedom",Good idea that succeeded,,50
"I need to thank ADET UGANDA  for its support that it has helped e from P4 up senior  where I am now. In our family, my parents had failed to raise my school fees. This had forced me to do some child labour for people to raise school fees .          However under such situations, I was identifieed by ADET field team while I was carrying out some work. They started helping through  paying my school fees and other requirements. Right now, I hope I can continue up to university level because I am still being supported. I extend my sincere thanks to ADET UGANDA for supporting me.",EDUCATION SUPPORT,ADET UGANDA,"field, situations, support, fees, hope",JINJA,Saw it happen,The right people,"Physical Needs,Creativity,Self-esteem",Good idea that succeeded,,51
"the student fraternity was suffering from insecurity around my college when i was a student.those living of campus frequently got robbed,beaten and at one point a student was shot dead just around the college. this issue was very persistent in the area and the freedom,fun and security of students was interfered with the school administration sought of the way forward because the problem issued a threat to the college students and the college students had now started to demonstrate and pressurize the administration to help them. alot of meetings were held and after a long pull and push between the students administration and the government,a police patrol base was constructed in the area by the government and this provided enough security ton the students.the robbery cases stopped and so many people got arrested and jailed and that became the end of the problem.freedom, security and fun was restored as the college began to gain reputation again",insecurity,administration and government,"campus, began, university, way, students",NAIROBI,Unknown,The wrong people,"Security,Knowledge,Self-esteem",Good idea that succeeded,,52
He leaves me asking myself many questions.I usually look at him and wonders if he knows his status.John is a young boy who lives with doubt if he has parents even those who live with him do not know if the parents of this hopeful boy are alive.John is living a happy life as the family he is living with never let him know what s going on.They love him like any other child in the house.This child was given out by the organization adopt a child in Kenya.Its amazing to see this child play happily.,happy John,Adopt a child,"questions, amazing, lives, live, play",NAIROBI,Saw it happen,The right people,"Security,Creativity,Self-esteem",Good idea that succeeded,,53
Children are also funded by quite different organisations.This is because today education is quite vital for the wellbeing of people in the society. A certain child said that he was sponsored by this organisation up to when he finished the university. This enabled him to get a qualificationand now he is working in a big organisation also to help orphans,EDUCATION OF CHILDREN,ADRA,,Kampala,Saw it happen,The right people,"Knowledge,Respect,Self-esteem",Good idea that worked somewhat,,54
"I lost my two parents when i had completed my p7,i found life to be very difficult i had the spirit to learn but i did not have school fees.One friend told me about ADSN and explained my problem,they accepted me on condition of first volunteering,afterwards the organisation payed my school fees now i am studying at Nkuba university.",EDUCATIONAL SUPPORT,ADSN,"educational, spirit, support, two, parents",JINJA,Helped make it happen,The right people,"Family and Friends,Physical Needs,Freedom",Good idea that succeeded,,55
"Africa Harvest Biotech Foundation is a non-governmental organisation that is aimed at increasing the farm produce in African countries including Kenya. It recently helped in the construction of fish farms at the chepkoilel University College in Eldoret, this has improved the level of education at the school. Students gain knowledge and ever can put in practice by starting their own fish farms once they get out of college and are jobless. Chepkorir is one of the beneficiaries as she practices fish farming in her fathers farm. The fish is harvested for sale to her neighbours and the nearest market. She has no regrets for this.",Fish farm techniques,Africa Harvest Biotech Foundation,,Eldoret,Saw it happen,The right people,"Knowledge,Self-esteem,Fun",Good idea that worked somewhat,,56
"In the year 2002, Africa now introduced dairy goat farming in kisumu. Mama mary initially before the project starting to feed her faming and educate her children saving vegetables at kajolo market. When  Africanow came, they introduced  dairy goat,and mama mary bought 4 dairly goats from a loan accessed from her women group. The 4 goat have now given back to 16goats asley give back twice per year and each goat  she sells at 14,000/= and 1 litre of goat ilk is sold for 120/= Now many lives in apartment house, educates her  children in university and supports orphans affected by HIV/AIDS by giving them milk and other material support.",GOAT CHANGES MY LIFE,AFRICA NOW,"affected hiv/aids, goat, farming, bought, goats",kisumu,Helped make it happen,The right people,,Good idea that succeeded,,57
"African Canadian continuing Education society is an organization fostering social and economic development through education in Kenya and beyond. In Kakamega and Western province they have taken quite some time since they started this programme that has seen so many students helped to pursue their education and become successful people. Normally these are floor, orphaned or any other disadvantaged children who could not have made it. This support is through scholarships meant to help secondary school students, college and university. It has done a significant job for many years.",Positive Impact,African Canadian continuing Education (ACCES),"economic development, development education, education kenya, social economic, scholarships",kakamega,Saw it happen,The right people,"Food and shelter,Family and Friends,Physical Needs",Good idea that succeeded,,58
"African Canadian continuing education society is an organization fostering social and economic development through education in Kenya and beyond. In Kakamega and Western province, they have taken quite sometime since they started this programme that has been so many students helped pursue their education and become successful people. Normally these are poor, orphaned of any other disadvantaged children who could not have made it through school were i not for the support ACESS offers. This support is through scholarships meant to help secondary school, college and university students. It has done a significant job for many years.",ACCESS IS DOING A GOOD JOB,AFRICAN CANADIAN CONTINUING EDUCATION (ACCESS),,KAKAMEGA,Saw it happen,The right people,"Food and shelter,Family and Friends,Physical Needs",Good idea that succeeded,,59
"African Canadian continuing EDUCATION society IS AN ORGANIZATION Fostering social and economic development through education in Kenya and beyond. In Kakamega and Western province they have taken quite sometime since they started this program that has seen so many students helped to pursue their education and become successful people. Normally these are poor orphaned or any other disadvantaged children who could not have made it through school were it not for the support ACCESS offers. This support is through scholarships meant to help secondary school student, colleges and university. It has done a significant job for many years.",AN ENCOURAGING SUPPORT,AFRICAN CANADIAN CONTINUING EDUCATION (ACCESS),,kakamega,Saw it happen,The right people,"Food and shelter,Family and Friends,Physical Needs",Good idea that succeeded,,60
"It came to my education that international organisations play a vital role in sponsoring education activities and programmes in various African nation states,kenya being inclussive.   A school mate at masinde muliro university of science and technology from a poor family background had his hopes of leading a better future raised after securing a financial or a full post-secondary scholarship from a canadian based organisation known as AFRICAN CANADIAN CONTINUING EDUCATION SOCIETY(ACCESS).   Hezron Mukenya who is an orphan secured a B plain in his K.C.S.E exams and was unable to raise fees for just to make an attempt to apply.   Currently he is a third year student of education and assured of completing her studies.",SCHOLARSHIP AWARDS,AFRICAN CANADIAN CONTINUING EDUCATION SOCIETY (ACCES),"raised, international, just, activities, various",KAKAMEGA,Saw it happen,The right people,"Security,Self-esteem,Freedom",Good idea that succeeded,,61
"African University an international Pan African and United Methodist church related Institution in promoting research, donated computers to Mbarara University of Science and technology aiming at helping students to carry out research every time and also to promote and encourage computer science since we reside in the dot com era.",Computer donation to encourage research,African university,,MBARARA,Was affected by what happened,The right people,"Food and shelter,Security,Knowledge",Good idea that succeeded,,62
"African university an international pan african and united methodist church related institution in promoting research, donated computing to mbarara university of science and technology aiming at helping students to carry out research way time and also to promote and encourage computer science since we reside in the dot com era hence development in students.",COMPUTER DONATION TO ENHANCE RESEARCH,AFRICAN UNIVERSITY,,Mbarara,Saw it happen,The right people,"Knowledge,Self-esteem,Fun",Good idea that succeeded,,63
The African University helped to improv ICT at our school because they gave us compoters.They gave us computers which had been connected to internet and we can now search about the whole world and has also helped us learn more about the ICT which was not there before.,Computer donation,African University,,Mbarara,Saw it happen,The right people,"Family and Friends,Knowledge,Creativity",Good idea that succeeded,,64
Kenya's leap in fight against cancer but now we have the latest screening treatment technology available for east Africans Kenya has consolidated its position as regional medical hub with the opening o f heart and cancer center in Nairobi. The centre at the Aga khan university hospital is equipped with latest screening and treatment technologies. it will be the first region to do research on heart and cancer disease that is in Africa. There is no doubt since the doctors will alleviate the rise of non-communicable disease in sub-Saharan,CANCER,AGA KHAN HOSPITAL,"technologies, hospital, disease, research, treatment",NAIROBI,Saw it happen,The right people,"Food and shelter,Physical Needs,Freedom",Good idea that succeeded,,65
"Aga khan foundation - an Indian owned foundation in a bid to boost the Education system, has for more than 50 years established variuos schools ranging from primary to university level. This has enable ugandans and foreign students acquire quality education which is a government's cry. On top of the above, the foundation provides scholarship for further studies more so in abroad.",BOASTING EDUCATION SECTOR.,AGAKHAN FOUNDATION,"scholarship, foundation, years, provides, students",KAMPALA,Was affected by what happened,The right people,"Physical Needs,Knowledge,Creativity",Good idea that succeeded,,66
"This women group encourages girl child to attain high quality Education. They  enroll girls into primary schools upto university levels. They are given full education fees, they are taken to powerful schools, scholastic materials and many others. This has encouraged so many girls to go back to school and it is envidenced that the numbers of school drop outs, early marriages has gone down. This has greatly changed up their lives.",Fees payment,AGALI AWAMU WOMEN GROUP,,Kampala,Heard about it happening,The right people,"Knowledge,Creativity,Freedom",Good idea that succeeded,,67
Comrade from maseno Univesty held a cacktail party to support former mis maseno and miss University kenya people who will present kenya in miss Univesity Africa pageant to be held on February 25th in Bajelsa state  It is out of such competition that we the Africa can enhance our relationship among the youths and also appreciate our culture and traditions.,MASENO BEAUTY,Agency,,kisumu,Saw it happen,The right people,"Food and shelter,Security,Family and Friends",Good idea that succeeded,,68
